#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306125:6360,1:1,11/03/17 14:46:12,STABLE BEAMS,6500,14855.174,14171.609,56.3,BCM1F
306125:6360,2:2,11/03/17 14:46:36,STABLE BEAMS,6500,14877.689,13998.304,56.7,HFET
306125:6360,3:3,11/03/17 14:47:00,STABLE BEAMS,6500,14906.837,14215.808,56.6,HFET
306125:6360,4:4,11/03/17 14:47:23,STABLE BEAMS,6500,14848.487,14194.882,56.6,HFET
306125:6360,5:5,11/03/17 14:47:46,STABLE BEAMS,6500,14749.906,14318.157,56.3,HFET
306125:6360,6:6,11/03/17 14:48:10,STABLE BEAMS,6500,14791.645,14339.531,55.6,HFET
306125:6360,7:7,11/03/17 14:48:33,STABLE BEAMS,6500,14841.241,14176.752,56.9,HFET
306125:6360,8:8,11/03/17 14:48:56,STABLE BEAMS,6500,14767.253,14227.406,56.5,HFET
306125:6360,9:9,11/03/17 14:49:20,STABLE BEAMS,6500,14795.525,3964.565,56.3,HFET
306125:6360,10:10,11/03/17 14:49:43,STABLE BEAMS,6500,14739.720,14304.995,56.2,HFET
306125:6360,11:11,11/03/17 14:50:06,STABLE BEAMS,6500,14750.063,14310.706,56.2,HFET
306125:6360,12:12,11/03/17 14:50:30,STABLE BEAMS,6500,14805.313,14355.106,56.2,HFET
306125:6360,13:13,11/03/17 14:50:53,STABLE BEAMS,6500,14735.089,14301.048,56.4,HFET
306125:6360,14:14,11/03/17 14:51:16,STABLE BEAMS,6500,14692.584,14260.608,56.0,HFET
306125:6360,15:15,11/03/17 14:51:39,STABLE BEAMS,6500,14704.107,13016.127,56.2,HFET
306125:6360,16:16,11/03/17 14:52:03,STABLE BEAMS,6500,14769.747,14328.709,55.9,HFET
306125:6360,17:17,11/03/17 14:52:26,STABLE BEAMS,6500,14759.509,14317.308,56.4,HFET
306125:6360,18:18,11/03/17 14:52:49,STABLE BEAMS,6500,14800.324,14144.900,56.5,HFET
306125:6360,19:19,11/03/17 14:53:13,STABLE BEAMS,6500,14784.416,14336.237,56.2,HFET
306125:6360,20:20,11/03/17 14:53:36,STABLE BEAMS,6500,14813.179,14356.078,56.4,HFET
306125:6360,21:21,11/03/17 14:53:59,STABLE BEAMS,6500,14813.209,14365.634,56.7,HFET
306125:6360,22:22,11/03/17 14:54:23,STABLE BEAMS,6500,14802.247,14346.067,56.6,HFET
306125:6360,23:23,11/03/17 14:54:46,STABLE BEAMS,6500,14739.890,14349.950,56.5,HFET
306125:6360,24:24,11/03/17 14:55:09,STABLE BEAMS,6500,14738.303,14351.650,56.3,HFET
306125:6360,25:25,11/03/17 14:55:33,STABLE BEAMS,6500,14744.628,14149.977,56.2,HFET
306125:6360,26:26,11/03/17 14:55:56,STABLE BEAMS,6500,14750.441,14157.232,56.1,HFET
306125:6360,27:27,11/03/17 14:56:19,STABLE BEAMS,6500,14735.244,14349.553,56.3,HFET
306125:6360,28:28,11/03/17 14:56:43,STABLE BEAMS,6500,14703.663,14322.902,56.2,HFET
306125:6360,29:29,11/03/17 14:57:06,STABLE BEAMS,6500,14717.285,14331.232,55.8,HFET
306125:6360,30:30,11/03/17 14:57:29,STABLE BEAMS,6500,14739.820,14352.099,56.3,HFET
306125:6360,31:31,11/03/17 14:57:52,STABLE BEAMS,6500,14745.057,14359.582,56.3,HFET
306125:6360,32:32,11/03/17 14:58:16,STABLE BEAMS,6500,14707.308,14094.677,56.2,HFET
