#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306122:6360,1:1,11/03/17 13:53:18,STABLE BEAMS,6500,14660.127,13977.963,55.8,HFET
306122:6360,2:2,11/03/17 13:53:41,STABLE BEAMS,6500,14841.666,14334.768,55.6,HFET
306122:6360,3:3,11/03/17 13:54:04,STABLE BEAMS,6500,15093.399,14386.167,57.7,HFET
306122:6360,4:4,11/03/17 13:54:28,STABLE BEAMS,6500,15116.281,14338.464,57.9,HFET
306122:6360,5:5,11/03/17 13:54:51,STABLE BEAMS,6500,15132.983,14357.480,57.6,HFET
306122:6360,6:6,11/03/17 13:55:14,STABLE BEAMS,6500,14998.020,14493.049,57.4,HFET
306122:6360,7:7,11/03/17 13:55:38,STABLE BEAMS,6500,14836.116,13959.348,56.6,HFET
306122:6360,8:8,11/03/17 13:56:01,STABLE BEAMS,6500,14941.565,14437.957,56.0,HFET
306122:6360,9:9,11/03/17 13:56:24,STABLE BEAMS,6500,15058.586,14071.906,57.5,HFET
306122:6360,10:10,11/03/17 13:56:48,STABLE BEAMS,6500,14957.202,14450.225,57.0,HFET
306122:6360,11:11,11/03/17 13:57:11,STABLE BEAMS,6500,14932.179,14434.346,56.9,HFET
306122:6360,12:12,11/03/17 13:57:34,STABLE BEAMS,6500,14938.159,14431.037,56.7,HFET
306122:6360,13:13,11/03/17 13:57:58,STABLE BEAMS,6500,14941.214,14443.173,57.3,HFET
306122:6360,14:14,11/03/17 13:58:21,STABLE BEAMS,6500,14946.601,14434.639,57.2,HFET
306122:6360,15:15,11/03/17 13:58:44,STABLE BEAMS,6500,14923.181,14226.909,57.1,HFET
306122:6360,16:16,11/03/17 13:59:08,STABLE BEAMS,6500,14862.676,14364.819,57.0,HFET
306122:6360,17:17,11/03/17 13:59:31,STABLE BEAMS,6500,14876.666,14393.894,57.0,HFET
306122:6360,18:18,11/03/17 13:59:54,STABLE BEAMS,6500,14822.983,14352.617,56.6,HFET
306122:6360,19:19,11/03/17 14:00:17,STABLE BEAMS,6500,14768.239,14102.858,56.2,HFET
306122:6360,20:20,11/03/17 14:00:41,STABLE BEAMS,6500,14857.469,14348.140,55.9,HFET
306122:6360,21:21,11/03/17 14:01:04,STABLE BEAMS,6500,15300.740,14626.794,58.0,HFET
306122:6360,22:22,11/03/17 14:01:27,STABLE BEAMS,6500,15288.716,14631.837,58.4,HFET
306122:6360,23:23,11/03/17 14:01:51,STABLE BEAMS,6500,15255.161,14435.515,58.3,HFET
306122:6360,24:24,11/03/17 14:02:14,STABLE BEAMS,6500,15242.438,14702.458,57.9,HFET
306122:6360,25:25,11/03/17 14:02:37,STABLE BEAMS,6500,15195.637,14673.220,57.8,HFET
306122:6360,26:26,11/03/17 14:03:01,STABLE BEAMS,6500,15187.834,14463.514,58.2,HFET
306122:6360,27:27,11/03/17 14:03:24,STABLE BEAMS,6500,15145.460,14650.083,57.8,HFET
306122:6360,28:28,11/03/17 14:03:47,STABLE BEAMS,6500,15142.321,14651.873,57.7,HFET
306122:6360,29:29,11/03/17 14:04:11,STABLE BEAMS,6500,15098.892,14627.374,57.8,HFET
306122:6360,30:30,11/03/17 14:04:34,STABLE BEAMS,6500,15087.767,14381.877,57.2,HFET
306122:6360,31:31,11/03/17 14:04:57,STABLE BEAMS,6500,15096.288,14615.965,57.4,HFET
306122:6360,32:32,11/03/17 14:05:20,STABLE BEAMS,6500,15074.074,14603.012,57.5,HFET
306122:6360,33:33,11/03/17 14:05:44,STABLE BEAMS,6500,15039.474,14546.650,57.5,HFET
306122:6360,34:34,11/03/17 14:06:07,STABLE BEAMS,6500,15027.994,14502.810,57.2,HFET
306122:6360,35:35,11/03/17 14:06:30,STABLE BEAMS,6500,15027.120,14503.878,57.2,HFET
306122:6360,36:36,11/03/17 14:06:54,STABLE BEAMS,6500,15051.100,14517.202,57.5,HFET
306122:6360,37:37,11/03/17 14:07:17,STABLE BEAMS,6500,14888.938,14406.022,57.1,HFET
306122:6360,38:38,11/03/17 14:07:40,STABLE BEAMS,6500,14995.766,14477.454,56.8,HFET
306122:6360,39:39,11/03/17 14:08:04,STABLE BEAMS,6500,14987.696,14257.801,56.9,HFET
306122:6360,40:40,11/03/17 14:08:27,STABLE BEAMS,6500,15000.353,14258.535,56.9,HFET
306122:6360,41:41,11/03/17 14:08:50,STABLE BEAMS,6500,14996.557,14487.450,57.6,HFET
306122:6360,42:42,11/03/17 14:09:14,STABLE BEAMS,6500,14852.121,14387.089,56.9,HFET
306122:6360,43:43,11/03/17 14:09:37,STABLE BEAMS,6500,14835.156,14348.732,56.5,HFET
306122:6360,44:44,11/03/17 14:10:00,STABLE BEAMS,6500,14880.970,14397.524,56.4,HFET
306122:6360,45:45,11/03/17 14:10:24,STABLE BEAMS,6500,14922.763,14479.299,56.7,HFET
306122:6360,46:46,11/03/17 14:10:47,STABLE BEAMS,6500,14908.380,14009.343,57.1,HFET
306122:6360,47:47,11/03/17 14:11:10,STABLE BEAMS,6500,14895.339,14210.572,56.6,HFET
306122:6360,48:48,11/03/17 14:11:33,STABLE BEAMS,6500,14885.091,14413.619,57.0,HFET
306122:6360,49:49,11/03/17 14:11:57,STABLE BEAMS,6500,14850.670,14375.032,56.5,HFET
306122:6360,50:50,11/03/17 14:12:20,STABLE BEAMS,6500,14847.494,14371.104,56.5,HFET
306122:6360,51:51,11/03/17 14:12:43,STABLE BEAMS,6500,14900.927,14402.645,56.8,HFET
306122:6360,52:52,11/03/17 14:13:07,STABLE BEAMS,6500,14865.704,5935.884,56.9,HFET
306122:6360,53:53,11/03/17 14:13:30,STABLE BEAMS,6500,14893.882,11140.107,56.8,HFET
306122:6360,54:54,11/03/17 14:13:53,STABLE BEAMS,6500,14860.537,14394.253,56.8,HFET
306122:6360,55:55,11/03/17 14:14:17,STABLE BEAMS,6500,14876.968,14409.910,56.9,HFET
306122:6360,56:56,11/03/17 14:14:40,STABLE BEAMS,6500,14759.603,3363.144,56.4,HFET
306122:6360,57:57,11/03/17 14:15:03,STABLE BEAMS,6500,14733.728,14296.811,56.0,HFET
306122:6360,58:58,11/03/17 14:15:26,STABLE BEAMS,6500,14685.317,14052.536,55.8,HFET
306122:6360,59:59,11/03/17 14:15:50,STABLE BEAMS,6500,14713.290,14287.731,56.3,HFET
306122:6360,60:60,11/03/17 14:16:13,STABLE BEAMS,6500,14738.770,14302.552,56.0,HFET
306122:6360,61:61,11/03/17 14:16:36,STABLE BEAMS,6500,14745.491,14300.740,56.0,HFET
306122:6360,62:62,11/03/17 14:17:00,STABLE BEAMS,6500,14736.543,14297.971,56.4,HFET
306122:6360,63:63,11/03/17 14:17:23,STABLE BEAMS,6500,14701.491,14230.511,55.8,HFET
306122:6360,64:64,11/03/17 14:17:46,STABLE BEAMS,6500,15053.041,14519.142,57.8,HFET
306122:6360,65:65,11/03/17 14:18:10,STABLE BEAMS,6500,15062.608,14524.945,57.1,HFET
306122:6360,66:66,11/03/17 14:18:33,STABLE BEAMS,6500,15137.671,14584.187,57.4,HFET
306122:6360,67:67,11/03/17 14:18:56,STABLE BEAMS,6500,15172.404,14633.725,58.0,HFET
306122:6360,68:68,11/03/17 14:19:20,STABLE BEAMS,6500,15081.832,14619.687,57.6,HFET
306122:6360,69:69,11/03/17 14:19:43,STABLE BEAMS,6500,14981.382,14543.543,57.4,HFET
306122:6360,70:70,11/03/17 14:20:06,STABLE BEAMS,6500,14976.079,14542.149,56.8,HFET
306122:6360,71:71,11/03/17 14:20:30,STABLE BEAMS,6500,14917.588,14495.293,57.0,HFET
306122:6360,72:72,11/03/17 14:20:53,STABLE BEAMS,6500,14953.162,14310.165,56.7,HFET
306122:6360,73:73,11/03/17 14:21:16,STABLE BEAMS,6500,14977.019,14535.477,57.4,HFET
306122:6360,74:74,11/03/17 14:21:39,STABLE BEAMS,6500,14909.314,14476.195,56.8,HFET
306122:6360,75:75,11/03/17 14:22:03,STABLE BEAMS,6500,14885.580,14469.190,56.8,HFET
306122:6360,76:76,11/03/17 14:22:26,STABLE BEAMS,6500,14876.712,8250.305,56.9,HFET
306122:6360,77:77,11/03/17 14:22:49,STABLE BEAMS,6500,14847.545,14398.337,56.6,HFET
306122:6360,78:78,11/03/17 14:23:13,STABLE BEAMS,6500,14808.392,14146.542,56.7,HFET
306122:6360,79:79,11/03/17 14:23:36,STABLE BEAMS,6500,14846.712,14180.450,56.8,HFET
306122:6360,80:80,11/03/17 14:23:59,STABLE BEAMS,6500,14793.272,13925.679,56.6,HFET
306122:6360,81:81,11/03/17 14:24:23,STABLE BEAMS,6500,14800.059,14340.126,56.5,HFET
306122:6360,82:82,11/03/17 14:24:46,STABLE BEAMS,6500,14752.533,14297.600,56.6,HFET
306122:6360,83:83,11/03/17 14:25:09,STABLE BEAMS,6500,14771.720,14306.899,56.7,HFET
306122:6360,84:84,11/03/17 14:25:33,STABLE BEAMS,6500,14726.982,14286.221,56.3,HFET
306122:6360,85:85,11/03/17 14:25:56,STABLE BEAMS,6500,14752.321,14305.752,56.4,HFET
306122:6360,86:86,11/03/17 14:26:19,STABLE BEAMS,6500,14690.268,14056.845,56.3,HFET
306122:6360,87:87,11/03/17 14:26:43,STABLE BEAMS,6500,14711.673,14276.002,56.2,HFET
306122:6360,88:88,11/03/17 14:27:06,STABLE BEAMS,6500,14738.236,13918.175,55.9,HFET
306122:6360,89:89,11/03/17 14:27:29,STABLE BEAMS,6500,14661.348,14275.554,55.7,HFET
306122:6360,90:90,11/03/17 14:27:52,STABLE BEAMS,6500,14888.663,14448.782,56.0,HFET
306122:6360,91:91,11/03/17 14:28:16,STABLE BEAMS,6500,15032.447,14556.367,57.4,HFET
306122:6360,92:92,11/03/17 14:28:39,STABLE BEAMS,6500,15029.703,14369.067,57.0,HFET
306122:6360,93:93,11/03/17 14:29:02,STABLE BEAMS,6500,15009.486,14564.508,57.1,HFET
306122:6360,94:94,11/03/17 14:29:26,STABLE BEAMS,6500,15044.478,14587.067,57.4,HFET
306122:6360,95:95,11/03/17 14:29:49,STABLE BEAMS,6500,14930.845,14501.686,57.5,HFET
306122:6360,96:96,11/03/17 14:30:12,STABLE BEAMS,6500,15047.204,14586.156,57.1,HFET
306122:6360,97:97,11/03/17 14:30:36,STABLE BEAMS,6500,15123.598,14645.069,57.8,HFET
306122:6360,98:98,11/03/17 14:30:59,STABLE BEAMS,6500,15066.350,14599.622,57.4,HFET
306122:6360,99:99,11/03/17 14:31:22,STABLE BEAMS,6500,14980.670,14543.884,57.0,HFET
306122:6360,100:100,11/03/17 14:31:46,STABLE BEAMS,6500,14983.479,14545.123,57.0,HFET
