#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306121:6360,42:42,11/03/17 13:10:09,ADJUST,6500,17527.957,6865.324,7.6,HFET
306121:6360,43:43,11/03/17 13:10:31,ADJUST,6500,19158.254,6868.557,71.7,HFET
306121:6360,44:44,11/03/17 13:10:54,ADJUST,6500,18560.937,8372.010,69.6,HFET
306121:6360,45:45,11/03/17 13:11:18,ADJUST,6500,15494.348,10950.744,53.2,HFET
306121:6360,46:46,11/03/17 13:11:41,ADJUST,6500,18948.870,8174.030,71.2,HFET
306121:6360,47:47,11/03/17 13:12:04,ADJUST,6500,17916.626,9807.335,63.9,HFET
306121:6360,48:48,11/03/17 13:12:27,ADJUST,6500,18537.590,8154.495,69.6,HFET
306121:6360,49:49,11/03/17 13:12:51,ADJUST,6500,20648.817,4942.646,78.8,HFET
306121:6360,50:50,11/03/17 13:13:14,ADJUST,6500,20629.219,4925.629,78.7,HFET
306121:6360,51:51,11/03/17 13:13:37,ADJUST,6500,19532.641,7309.077,78.6,HFET
306121:6360,52:52,11/03/17 13:14:01,ADJUST,6500,16006.078,13712.935,60.8,HFET
306121:6360,53:53,11/03/17 13:14:24,ADJUST,6500,15954.113,13970.858,61.0,HFET
306121:6360,54:54,11/03/17 13:14:47,ADJUST,6500,15529.921,14483.173,60.8,HFET
306121:6360,55:55,11/03/17 13:15:11,STABLE BEAMS,6500,15142.614,10245.840,58.2,HFET
306121:6360,56:56,11/03/17 13:15:34,STABLE BEAMS,6500,15065.914,3900.510,57.8,HFET
306121:6360,57:57,11/03/17 13:15:57,STABLE BEAMS,6500,14969.391,14377.474,57.6,HFET
306121:6360,58:58,11/03/17 13:16:21,STABLE BEAMS,6500,14905.594,13974.606,56.5,HFET
306121:6360,59:59,11/03/17 13:16:44,STABLE BEAMS,6500,14848.545,14355.976,57.2,HFET
306121:6360,60:60,11/03/17 13:17:07,STABLE BEAMS,6500,14705.181,14247.733,55.8,HFET
306121:6360,61:61,11/03/17 13:17:31,STABLE BEAMS,6500,14670.965,14218.041,55.5,HFET
306121:6360,62:62,11/03/17 13:17:54,STABLE BEAMS,6500,14659.617,13999.275,55.7,HFET
306121:6360,63:63,11/03/17 13:18:17,STABLE BEAMS,6500,14913.719,14155.820,56.0,HFET
306121:6360,64:64,11/03/17 13:18:40,STABLE BEAMS,6500,15104.508,14087.367,58.4,HFET
306121:6360,65:65,11/03/17 13:19:04,STABLE BEAMS,6500,14945.101,14405.634,57.0,HFET
306121:6360,66:66,11/03/17 13:19:27,STABLE BEAMS,6500,14861.186,14349.348,56.4,HFET
306121:6360,67:67,11/03/17 13:19:50,STABLE BEAMS,6500,14736.006,14255.925,56.1,HFET
306121:6360,68:68,11/03/17 13:20:14,STABLE BEAMS,6500,14666.023,14187.074,55.6,HFET
306121:6360,69:69,11/03/17 13:20:37,STABLE BEAMS,6500,15003.026,14399.494,56.1,HFET
306121:6360,70:70,11/03/17 13:21:00,STABLE BEAMS,6500,15243.055,14559.886,58.4,HFET
306121:6360,71:71,11/03/17 13:21:24,STABLE BEAMS,6500,15210.525,14361.035,58.5,HFET
306121:6360,72:72,11/03/17 13:21:47,STABLE BEAMS,6500,15082.683,14566.954,57.6,HFET
306121:6360,73:73,11/03/17 13:22:10,STABLE BEAMS,6500,15001.372,14519.794,57.3,HFET
306121:6360,74:74,11/03/17 13:22:34,STABLE BEAMS,6500,15042.292,14341.168,57.3,HFET
306121:6360,75:75,11/03/17 13:22:57,STABLE BEAMS,6500,14995.396,14082.702,57.0,HFET
306121:6360,76:76,11/03/17 13:23:20,STABLE BEAMS,6500,14988.270,14304.562,57.0,HFET
306121:6360,77:77,11/03/17 13:23:44,STABLE BEAMS,6500,14913.662,14455.549,57.3,HFET
306121:6360,78:78,11/03/17 13:24:07,STABLE BEAMS,6500,14865.249,14426.300,56.6,HFET
306121:6360,79:79,11/03/17 13:24:30,STABLE BEAMS,6500,14786.906,14162.072,56.2,HFET
306121:6360,80:80,11/03/17 13:24:53,STABLE BEAMS,6500,14771.556,14139.693,56.1,HFET
306121:6360,81:81,11/03/17 13:25:17,STABLE BEAMS,6500,14773.128,13923.168,56.4,HFET
306121:6360,82:82,11/03/17 13:25:40,STABLE BEAMS,6500,14777.881,14311.767,56.7,HFET
306121:6360,83:83,11/03/17 13:26:03,STABLE BEAMS,6500,14727.543,14066.318,56.5,HFET
306121:6360,84:84,11/03/17 13:26:27,STABLE BEAMS,6500,14712.633,14253.011,56.7,HFET
306121:6360,85:85,11/03/17 13:26:50,STABLE BEAMS,6500,14697.481,13836.884,56.4,HFET
306121:6360,86:86,11/03/17 13:27:13,STABLE BEAMS,6500,14709.358,14250.114,56.3,HFET
306121:6360,87:87,11/03/17 13:27:37,STABLE BEAMS,6500,14639.745,13983.560,56.3,HFET
306121:6360,88:88,11/03/17 13:28:00,STABLE BEAMS,6500,15038.211,14266.453,55.7,HFET
306121:6360,89:89,11/03/17 13:28:23,STABLE BEAMS,6500,15085.815,14295.053,57.2,HFET
306121:6360,90:90,11/03/17 13:28:47,STABLE BEAMS,6500,15145.283,14544.309,57.9,HFET
306121:6360,91:91,11/03/17 13:29:10,STABLE BEAMS,6500,15123.429,14529.300,57.8,HFET
306121:6360,92:92,11/03/17 13:29:33,STABLE BEAMS,6500,15068.871,14539.732,57.4,HFET
306121:6360,93:93,11/03/17 13:29:56,STABLE BEAMS,6500,14996.959,14523.188,57.3,HFET
306121:6360,94:94,11/03/17 13:30:20,STABLE BEAMS,6500,15013.916,14517.910,56.9,HFET
306121:6360,95:95,11/03/17 13:30:43,STABLE BEAMS,6500,14975.991,14510.801,57.0,HFET
306121:6360,96:96,11/03/17 13:31:06,STABLE BEAMS,6500,14943.343,14285.564,57.4,HFET
306121:6360,97:97,11/03/17 13:31:30,STABLE BEAMS,6500,14898.525,14457.967,56.5,HFET
306121:6360,98:98,11/03/17 13:31:53,STABLE BEAMS,6500,14825.898,14396.549,56.7,HFET
306121:6360,99:99,11/03/17 13:32:16,STABLE BEAMS,6500,14847.730,14211.726,56.8,HFET
306121:6360,100:100,11/03/17 13:32:40,STABLE BEAMS,6500,14822.456,14397.493,56.4,HFET
306121:6360,101:101,11/03/17 13:33:03,STABLE BEAMS,6500,14828.554,14404.717,56.6,HFET
306121:6360,102:102,11/03/17 13:33:26,STABLE BEAMS,6500,14804.256,14385.557,56.8,HFET
306121:6360,103:103,11/03/17 13:33:50,STABLE BEAMS,6500,14780.869,14157.270,56.5,HFET
306121:6360,104:104,11/03/17 13:34:13,STABLE BEAMS,6500,14754.410,13932.691,56.4,HFET
306121:6360,105:105,11/03/17 13:34:36,STABLE BEAMS,6500,14783.275,14129.207,55.5,HFET
306121:6360,106:106,11/03/17 13:35:00,STABLE BEAMS,6500,15227.324,14461.011,58.1,HFET
306121:6360,107:107,11/03/17 13:35:23,STABLE BEAMS,6500,15204.217,14662.427,57.9,HFET
306121:6360,108:108,11/03/17 13:35:46,STABLE BEAMS,6500,15177.401,14220.853,57.7,HFET
306121:6360,109:109,11/03/17 13:36:09,STABLE BEAMS,6500,15164.497,14431.862,57.8,HFET
306121:6360,110:110,11/03/17 13:36:33,STABLE BEAMS,6500,15138.387,14624.025,57.8,HFET
306121:6360,111:111,11/03/17 13:36:56,STABLE BEAMS,6500,15095.673,14599.631,57.8,HFET
306121:6360,112:112,11/03/17 13:37:19,STABLE BEAMS,6500,15041.811,14360.170,57.8,HFET
306121:6360,113:113,11/03/17 13:37:43,STABLE BEAMS,6500,15012.183,14119.434,56.9,HFET
306121:6360,114:114,11/03/17 13:38:06,STABLE BEAMS,6500,15021.457,14555.060,57.0,HFET
306121:6360,115:115,11/03/17 13:38:29,STABLE BEAMS,6500,15023.778,14347.865,56.9,HFET
306121:6360,116:116,11/03/17 13:38:53,STABLE BEAMS,6500,15005.250,13918.401,57.1,HFET
306121:6360,117:117,11/03/17 13:39:16,STABLE BEAMS,6500,14985.517,14111.384,57.5,HFET
306121:6360,118:118,11/03/17 13:39:39,STABLE BEAMS,6500,14957.863,14500.479,56.7,HFET
306121:6360,119:119,11/03/17 13:40:03,STABLE BEAMS,6500,14929.887,14480.826,56.7,HFET
306121:6360,120:120,11/03/17 13:40:26,STABLE BEAMS,6500,14895.586,14456.453,56.9,HFET
306121:6360,121:121,11/03/17 13:40:49,STABLE BEAMS,6500,14901.982,14256.282,57.0,HFET
306121:6360,122:122,11/03/17 13:41:13,STABLE BEAMS,6500,14885.996,14249.861,57.0,HFET
306121:6360,123:123,11/03/17 13:41:36,STABLE BEAMS,6500,14857.057,14223.277,56.7,HFET
306121:6360,124:124,11/03/17 13:41:59,STABLE BEAMS,6500,14826.452,14162.216,56.5,HFET
306121:6360,125:125,11/03/17 13:42:22,STABLE BEAMS,6500,14771.631,14308.407,56.1,HFET
306121:6360,126:126,11/03/17 13:42:46,STABLE BEAMS,6500,14747.558,14324.739,56.0,HFET
306121:6360,127:127,11/03/17 13:43:09,STABLE BEAMS,6500,14759.873,14306.321,56.2,HFET
306121:6360,128:128,11/03/17 13:43:32,STABLE BEAMS,6500,14738.394,14283.529,56.4,HFET
306121:6360,129:129,11/03/17 13:43:56,STABLE BEAMS,6500,14653.297,14227.415,56.3,HFET
306121:6360,130:130,11/03/17 13:44:19,STABLE BEAMS,6500,15031.160,14470.514,55.5,HFET
306121:6360,131:131,11/03/17 13:44:42,STABLE BEAMS,6500,15118.087,14543.945,57.6,HFET
306121:6360,132:132,11/03/17 13:45:06,STABLE BEAMS,6500,15139.162,14345.380,57.5,HFET
306121:6360,133:133,11/03/17 13:45:29,STABLE BEAMS,6500,15111.565,14548.306,57.8,HFET
306121:6360,134:134,11/03/17 13:45:52,STABLE BEAMS,6500,15064.783,14530.941,57.3,HFET
306121:6360,135:135,11/03/17 13:46:16,STABLE BEAMS,6500,15004.983,14483.191,57.6,HFET
306121:6360,136:136,11/03/17 13:46:39,STABLE BEAMS,6500,15029.067,14501.404,57.5,HFET
306121:6360,137:137,11/03/17 13:47:02,STABLE BEAMS,6500,15050.524,14302.088,57.6,HFET
306121:6360,138:138,11/03/17 13:47:25,STABLE BEAMS,6500,15006.780,14486.260,57.1,HFET
306121:6360,139:139,11/03/17 13:47:49,STABLE BEAMS,6500,14922.822,14413.065,56.8,HFET
306121:6360,140:140,11/03/17 13:48:12,STABLE BEAMS,6500,14850.736,14378.544,56.5,HFET
306121:6360,141:141,11/03/17 13:48:35,STABLE BEAMS,6500,14867.991,14393.575,56.4,HFET
306121:6360,142:142,11/03/17 13:48:59,STABLE BEAMS,6500,14834.121,7142.087,56.6,HFET
306121:6360,143:143,11/03/17 13:49:22,STABLE BEAMS,6500,14728.993,0.000,56.3,HFET
306121:6360,144:144,11/03/17 13:49:45,STABLE BEAMS,6500,14782.491,0.000,56.1,HFET
306121:6360,145:145,11/03/17 13:50:09,STABLE BEAMS,6500,14870.238,0.000,56.8,HFET
306121:6360,146:146,11/03/17 13:50:32,STABLE BEAMS,6500,14863.966,0.000,57.2,HFET
306121:6360,147:147,11/03/17 13:50:55,STABLE BEAMS,6500,14732.036,0.000,56.4,HFET
306121:6360,148:0,11/03/17 13:51:19,STABLE BEAMS,6500,14721.932,0.000,56.0,HFET
306121:6360,149:0,11/03/17 13:51:42,STABLE BEAMS,6500,14742.946,0.000,56.0,HFET
306121:6360,150:0,11/03/17 13:52:05,STABLE BEAMS,6500,14753.517,0.000,56.5,HFET
306121:6360,151:0,11/03/17 13:52:29,STABLE BEAMS,6500,14746.609,0.000,56.2,HFET
306121:6360,152:0,11/03/17 13:52:52,STABLE BEAMS,6500,14718.467,0.000,56.1,HFET
#Summary:
#nfill,nrun,nls,ncms,totdelivered(hz/ub),totrecorded(hz/ub)
#1,1,111,106,1696035.336,1357458.175
