#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
306126:6360,1:1,11/04/17 10:14:24,STABLE BEAMS,6500,4104.746,4046.813,15.5,BCM1F
306126:6360,2:2,11/04/17 10:14:48,STABLE BEAMS,6500,4102.919,4044.876,15.6,HFET
306126:6360,3:3,11/04/17 10:15:11,STABLE BEAMS,6500,4088.663,4030.830,15.6,HFET
306126:6360,4:4,11/04/17 10:15:34,STABLE BEAMS,6500,4066.864,3947.726,15.5,HFET
306126:6360,5:5,11/04/17 10:15:58,STABLE BEAMS,6500,4067.455,4010.999,15.5,HFET
306126:6360,6:6,11/04/17 10:16:21,STABLE BEAMS,6500,4065.522,3951.763,15.5,HFET
306126:6360,7:7,11/04/17 10:16:44,STABLE BEAMS,6500,4068.382,4011.787,15.5,HFET
306126:6360,8:8,11/04/17 10:17:08,STABLE BEAMS,6500,4068.044,4011.717,15.5,HFET
306126:6360,9:9,11/04/17 10:17:31,STABLE BEAMS,6500,4066.658,4010.123,15.5,HFET
306126:6360,10:10,11/04/17 10:17:54,STABLE BEAMS,6500,4070.726,4014.358,15.5,HFET
306126:6360,11:11,11/04/17 10:18:18,STABLE BEAMS,6500,4066.828,4010.024,15.5,HFET
306126:6360,12:12,11/04/17 10:18:41,STABLE BEAMS,6500,4064.878,3951.280,15.5,HFET
306126:6360,13:13,11/04/17 10:19:04,STABLE BEAMS,6500,4063.399,4006.864,15.5,HFET
306126:6360,14:14,11/04/17 10:19:28,STABLE BEAMS,6500,4062.830,4006.427,15.5,HFET
306126:6360,15:15,11/04/17 10:19:51,STABLE BEAMS,6500,4061.583,4005.407,15.5,HFET
306126:6360,16:16,11/04/17 10:20:14,STABLE BEAMS,6500,4059.148,4002.765,15.5,HFET
306126:6360,17:17,11/04/17 10:20:38,STABLE BEAMS,6500,4056.464,4000.153,15.5,HFET
306126:6360,18:18,11/04/17 10:21:01,STABLE BEAMS,6500,4050.225,3994.072,15.5,HFET
306126:6360,19:19,11/04/17 10:21:24,STABLE BEAMS,6500,4051.728,3995.496,15.4,HFET
306126:6360,20:20,11/04/17 10:21:47,STABLE BEAMS,6500,4049.794,3993.622,15.4,HFET
306126:6360,21:21,11/04/17 10:22:11,STABLE BEAMS,6500,4047.159,3991.101,15.4,HFET
306126:6360,22:22,11/04/17 10:22:34,STABLE BEAMS,6500,4045.320,3989.184,15.4,HFET
306126:6360,23:23,11/04/17 10:22:57,STABLE BEAMS,6500,4048.847,3992.750,15.4,HFET
306126:6360,24:24,11/04/17 10:23:21,STABLE BEAMS,6500,4048.539,3992.613,15.4,HFET
306126:6360,25:25,11/04/17 10:23:44,STABLE BEAMS,6500,4045.437,3989.337,15.4,HFET
306126:6360,26:26,11/04/17 10:24:07,STABLE BEAMS,6500,4045.296,3989.007,15.4,HFET
306126:6360,27:27,11/04/17 10:24:31,STABLE BEAMS,6500,4044.379,3988.470,15.4,HFET
306126:6360,28:28,11/04/17 10:24:54,STABLE BEAMS,6500,4039.447,3983.292,15.4,HFET
306126:6360,29:29,11/04/17 10:25:17,STABLE BEAMS,6500,4034.534,3978.767,15.4,HFET
306126:6360,30:30,11/04/17 10:25:41,STABLE BEAMS,6500,4035.409,3979.671,15.4,HFET
306126:6360,31:31,11/04/17 10:26:04,STABLE BEAMS,6500,4033.227,3977.490,15.4,HFET
306126:6360,32:32,11/04/17 10:26:27,STABLE BEAMS,6500,4033.813,3977.770,15.4,HFET
306126:6360,33:33,11/04/17 10:26:51,STABLE BEAMS,6500,4031.952,3976.171,15.4,HFET
306126:6360,34:34,11/04/17 10:27:14,STABLE BEAMS,6500,4028.880,3910.444,15.4,HFET
306126:6360,35:35,11/04/17 10:27:37,STABLE BEAMS,6500,4029.727,3973.900,15.4,HFET
306126:6360,36:36,11/04/17 10:28:00,STABLE BEAMS,6500,4032.046,3976.168,15.4,HFET
306126:6360,37:37,11/04/17 10:28:24,STABLE BEAMS,6500,4027.983,3915.056,15.4,HFET
306126:6360,38:38,11/04/17 10:28:47,STABLE BEAMS,6500,4025.135,3962.200,15.3,HFET
306126:6360,39:39,11/04/17 10:29:10,STABLE BEAMS,6500,4023.538,3960.897,15.3,HFET
306126:6360,40:40,11/04/17 10:29:34,STABLE BEAMS,6500,4022.703,3959.986,15.3,HFET
306126:6360,41:41,11/04/17 10:29:57,STABLE BEAMS,6500,4020.579,3958.014,15.3,HFET
306126:6360,42:42,11/04/17 10:30:20,STABLE BEAMS,6500,4019.480,3956.577,15.3,HFET
306126:6360,43:43,11/04/17 10:30:44,STABLE BEAMS,6500,4019.875,3957.410,15.3,HFET
306126:6360,44:44,11/04/17 10:31:07,STABLE BEAMS,6500,4018.162,3955.493,15.3,HFET
306126:6360,45:45,11/04/17 10:31:30,STABLE BEAMS,6500,4018.161,3955.268,15.3,HFET
306126:6360,46:46,11/04/17 10:31:54,STABLE BEAMS,6500,4017.621,3954.923,15.3,HFET
306126:6360,47:47,11/04/17 10:32:17,STABLE BEAMS,6500,4017.143,3898.331,15.3,HFET
306126:6360,48:48,11/04/17 10:32:40,STABLE BEAMS,6500,4015.758,3960.351,15.3,HFET
306126:6360,49:49,11/04/17 10:33:04,STABLE BEAMS,6500,4014.589,3958.968,15.3,HFET
306126:6360,50:50,11/04/17 10:33:27,STABLE BEAMS,6500,4012.420,3956.879,15.3,HFET
306126:6360,51:51,11/04/17 10:33:50,STABLE BEAMS,6500,4010.386,3955.014,15.3,HFET
306126:6360,52:52,11/04/17 10:34:13,STABLE BEAMS,6500,4009.562,3954.380,15.3,HFET
306126:6360,53:53,11/04/17 10:34:37,STABLE BEAMS,6500,4005.667,3950.598,15.3,HFET
306126:6360,54:54,11/04/17 10:35:00,STABLE BEAMS,6500,4004.502,3948.795,15.3,HFET
306126:6360,55:55,11/04/17 10:35:23,STABLE BEAMS,6500,4004.750,3949.546,15.3,HFET
306126:6360,56:56,11/04/17 10:35:47,STABLE BEAMS,6500,4005.469,3950.055,15.3,HFET
