#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
302634:6191,1:1,09/12/17 01:07:57,SQUEEZE,6500,0.293,0.283,0.0,PLTZERO
302634:6191,2:2,09/12/17 01:08:20,SQUEEZE,6500,0.288,0.283,0.0,PLTZERO
302634:6191,3:3,09/12/17 01:08:43,SQUEEZE,6500,0.293,0.288,0.0,PLTZERO
302634:6191,4:4,09/12/17 01:09:06,SQUEEZE,6500,0.294,0.289,0.0,PLTZERO
302634:6191,5:5,09/12/17 01:09:30,SQUEEZE,6500,0.294,0.288,0.0,PLTZERO
302634:6191,6:6,09/12/17 01:09:53,SQUEEZE,6500,0.296,0.291,0.0,PLTZERO
302634:6191,7:7,09/12/17 01:10:16,SQUEEZE,6500,0.295,0.290,0.0,PLTZERO
302634:6191,8:8,09/12/17 01:10:40,SQUEEZE,6500,0.294,0.289,0.0,PLTZERO
302634:6191,9:9,09/12/17 01:11:03,SQUEEZE,6500,0.295,0.290,0.0,PLTZERO
302634:6191,10:10,09/12/17 01:11:26,SQUEEZE,6500,0.295,0.290,0.0,PLTZERO
302634:6191,11:11,09/12/17 01:11:50,SQUEEZE,6500,0.296,0.291,0.0,PLTZERO
302634:6191,12:12,09/12/17 01:12:13,SQUEEZE,6500,0.297,0.291,0.0,PLTZERO
302634:6191,13:13,09/12/17 01:12:36,SQUEEZE,6500,0.297,0.291,0.0,PLTZERO
302634:6191,14:14,09/12/17 01:13:00,SQUEEZE,6500,0.295,0.289,0.0,PLTZERO
302634:6191,15:15,09/12/17 01:13:23,SQUEEZE,6500,0.296,0.290,0.0,PLTZERO
302634:6191,16:16,09/12/17 01:13:46,SQUEEZE,6500,0.296,0.291,0.0,PLTZERO
302634:6191,17:17,09/12/17 01:14:10,ADJUST,6500,0.297,0.291,0.0,PLTZERO
302634:6191,18:18,09/12/17 01:14:33,ADJUST,6500,0.295,0.289,0.0,PLTZERO
302634:6191,19:19,09/12/17 01:14:56,ADJUST,6500,0.292,0.287,0.0,PLTZERO
302634:6191,20:20,09/12/17 01:15:19,ADJUST,6500,0.295,0.290,0.0,PLTZERO
302634:6191,21:21,09/12/17 01:15:43,ADJUST,6500,0.296,0.291,0.0,PLTZERO
302634:6191,22:22,09/12/17 01:16:06,ADJUST,6500,0.298,0.292,0.0,PLTZERO
302634:6191,23:23,09/12/17 01:16:29,ADJUST,6500,0.294,0.289,0.0,PLTZERO
302634:6191,24:24,09/12/17 01:16:53,ADJUST,6500,0.298,0.293,0.0,PLTZERO
302634:6191,25:25,09/12/17 01:17:16,ADJUST,6500,6397.758,6280.492,0.0,PLTZERO
302634:6191,26:26,09/12/17 01:17:39,ADJUST,6500,10226.432,10032.543,0.0,PLTZERO
302634:6191,27:27,09/12/17 01:18:03,ADJUST,6500,9980.900,9792.272,0.0,PLTZERO
302634:6191,28:28,09/12/17 01:18:26,ADJUST,6500,9743.742,9545.933,0.0,PLTZERO
302634:6191,29:29,09/12/17 01:18:49,ADJUST,6500,9086.982,8916.617,0.0,PLTZERO
302634:6191,30:30,09/12/17 01:19:13,ADJUST,6500,9318.131,9143.150,0.0,PLTZERO
302634:6191,31:31,09/12/17 01:19:36,ADJUST,6500,10124.057,9648.063,0.0,PLTZERO
302634:6191,32:32,09/12/17 01:19:59,ADJUST,6500,10371.563,10174.865,0.0,PLTZERO
302634:6191,33:33,09/12/17 01:20:23,ADJUST,6500,10917.524,10709.512,0.0,PLTZERO
302634:6191,34:34,09/12/17 01:20:46,ADJUST,6500,10910.746,10702.802,0.0,PLTZERO
302634:6191,35:35,09/12/17 01:21:09,STABLE BEAMS,6500,10899.572,10691.730,0.0,PLTZERO
302634:6191,36:36,09/12/17 01:21:32,STABLE BEAMS,6500,10894.962,10687.179,0.0,PLTZERO
302634:6191,37:37,09/12/17 01:21:56,STABLE BEAMS,6500,10892.092,522.103,0.0,PLTZERO
302634:6191,38:38,09/12/17 01:22:19,STABLE BEAMS,6500,10878.967,0.000,0.0,PLTZERO
302634:6191,39:39,09/12/17 01:22:42,STABLE BEAMS,6500,10873.907,0.000,0.0,PLTZERO
302634:6191,40:40,09/12/17 01:23:06,STABLE BEAMS,6500,10862.653,2190.093,0.0,PLTZERO
302634:6191,41:41,09/12/17 01:23:29,STABLE BEAMS,6500,2098.524,2056.008,0.0,PLTZERO
302634:6191,42:42,09/12/17 01:23:52,STABLE BEAMS,6500,4853.160,4744.738,0.0,PLTZERO
302634:6191,43:43,09/12/17 01:24:16,STABLE BEAMS,6500,9900.431,9324.409,0.0,PLTZERO
302634:6191,44:44,09/12/17 01:24:39,STABLE BEAMS,6500,6875.933,6704.018,0.0,PLTZERO
302634:6191,45:45,09/12/17 01:25:02,STABLE BEAMS,6500,1794.916,1759.962,0.0,PLTZERO
302634:6191,46:46,09/12/17 01:25:26,STABLE BEAMS,6500,6142.953,5986.018,0.0,PLTZERO
302634:6191,47:47,09/12/17 01:25:49,STABLE BEAMS,6500,1981.340,1942.489,0.0,PLTZERO
302634:6191,48:48,09/12/17 01:26:12,STABLE BEAMS,6500,7225.867,7042.595,0.0,PLTZERO
302634:6191,49:49,09/12/17 01:26:35,STABLE BEAMS,6500,9693.874,9404.235,0.0,PLTZERO
302634:6191,50:50,09/12/17 01:26:59,STABLE BEAMS,6500,4413.125,4315.638,0.0,PLTZERO
