#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
297179:5848,1:1,06/20/17 07:09:38,STABLE BEAMS,6500,4944.090,4102.467,20.4,PLTZERO
297179:5848,2:2,06/20/17 07:10:01,STABLE BEAMS,6500,4941.165,4708.615,20.4,PLTZERO
297179:5848,3:3,06/20/17 07:10:25,STABLE BEAMS,6500,4939.616,4735.285,20.3,PLTZERO
297179:5848,4:4,06/20/17 07:10:48,STABLE BEAMS,6500,4938.047,4725.056,20.3,PLTZERO
297179:5848,5:5,06/20/17 07:11:11,STABLE BEAMS,6500,4936.104,4853.294,20.3,PLTZERO
297179:5848,6:6,06/20/17 07:11:34,STABLE BEAMS,6500,4935.212,4855.797,20.3,PLTZERO
297179:5848,7:7,06/20/17 07:11:58,STABLE BEAMS,6500,4931.247,3644.718,20.3,PLTZERO
297179:5848,8:8,06/20/17 07:12:21,STABLE BEAMS,6500,4929.957,19.884,20.3,PLTZERO
297179:5848,9:9,06/20/17 07:12:44,STABLE BEAMS,6500,4928.236,1519.811,20.3,PLTZERO
297179:5848,10:10,06/20/17 07:13:08,STABLE BEAMS,6500,4928.526,179.974,20.3,PLTZERO
297179:5848,11:11,06/20/17 07:13:31,STABLE BEAMS,6500,4925.721,909.836,20.3,PLTZERO
297179:5848,12:12,06/20/17 07:13:54,STABLE BEAMS,6500,4923.739,4858.191,20.3,PLTZERO
297179:5848,13:13,06/20/17 07:14:18,STABLE BEAMS,6500,4769.378,4702.513,20.3,PLTZERO
297179:5848,14:14,06/20/17 07:14:41,STABLE BEAMS,6500,4808.341,4747.332,19.4,PLTZERO
297179:5848,15:15,06/20/17 07:15:04,STABLE BEAMS,6500,4787.346,4709.206,19.3,PLTZERO
297179:5848,16:16,06/20/17 07:15:28,STABLE BEAMS,6500,4745.667,4690.394,18.8,PLTZERO
297179:5848,17:17,06/20/17 07:15:51,STABLE BEAMS,6500,4754.257,4688.715,18.7,PLTZERO
297179:5848,18:18,06/20/17 07:16:14,STABLE BEAMS,6500,4913.295,4805.959,20.2,PLTZERO
297179:5848,19:19,06/20/17 07:16:38,STABLE BEAMS,6500,4912.077,4805.909,20.2,PLTZERO
297179:5848,20:20,06/20/17 07:17:01,STABLE BEAMS,6500,4911.131,4850.219,20.2,PLTZERO
297179:5848,21:21,06/20/17 07:17:24,STABLE BEAMS,6500,4908.979,4629.759,20.2,PLTZERO
297179:5848,22:22,06/20/17 07:17:47,STABLE BEAMS,6500,4907.177,4837.457,20.2,PLTZERO
297179:5848,23:23,06/20/17 07:18:11,STABLE BEAMS,6500,4904.947,4829.674,20.2,PLTZERO
297179:5848,24:24,06/20/17 07:18:34,STABLE BEAMS,6500,4901.992,4828.917,20.2,PLTZERO
297179:5848,25:25,06/20/17 07:18:57,STABLE BEAMS,6500,4895.553,4832.849,20.2,PLTZERO
297179:5848,26:26,06/20/17 07:19:21,STABLE BEAMS,6500,4900.634,4836.698,20.2,PLTZERO
297179:5848,27:27,06/20/17 07:19:44,STABLE BEAMS,6500,4898.021,4832.991,20.2,PLTZERO
297179:5848,28:28,06/20/17 07:20:07,STABLE BEAMS,6500,4893.515,4829.849,20.1,PLTZERO
297179:5848,29:29,06/20/17 07:20:31,STABLE BEAMS,6500,4892.157,4832.918,20.1,PLTZERO
297179:5848,30:30,06/20/17 07:20:54,STABLE BEAMS,6500,4890.185,4819.666,20.1,PLTZERO
297179:5848,31:31,06/20/17 07:21:17,STABLE BEAMS,6500,4888.695,4734.933,20.1,PLTZERO
297179:5848,32:32,06/20/17 07:21:41,STABLE BEAMS,6500,4887.837,4773.330,20.1,PLTZERO
297179:5848,33:33,06/20/17 07:22:04,STABLE BEAMS,6500,4885.312,4815.997,20.1,PLTZERO
297179:5848,34:34,06/20/17 07:22:27,STABLE BEAMS,6500,4883.248,4819.776,20.1,PLTZERO
297179:5848,35:35,06/20/17 07:22:51,STABLE BEAMS,6500,4881.563,4815.878,20.1,PLTZERO
297179:5848,36:36,06/20/17 07:23:14,STABLE BEAMS,6500,4879.907,4723.013,20.1,PLTZERO
297179:5848,37:37,06/20/17 07:23:37,STABLE BEAMS,6500,4877.768,4821.942,20.1,PLTZERO
297179:5848,38:38,06/20/17 07:24:00,STABLE BEAMS,6500,4875.250,4739.863,20.1,PLTZERO
297179:5848,39:39,06/20/17 07:24:24,STABLE BEAMS,6500,4873.533,4818.024,20.1,PLTZERO
