#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(hz/ub),recorded(hz/ub),avgpu,source
302635:6191,1:1,09/12/17 05:18:01,STABLE BEAMS,6500,8097.180,7878.180,0.0,PLTZERO
302635:6191,2:2,09/12/17 05:18:25,STABLE BEAMS,6500,8092.485,7773.406,0.0,PLTZERO
302635:6191,3:3,09/12/17 05:18:48,STABLE BEAMS,6500,8088.656,7883.623,0.0,PLTZERO
302635:6191,4:4,09/12/17 05:19:11,STABLE BEAMS,6500,8087.870,7882.745,0.0,PLTZERO
302635:6191,5:5,09/12/17 05:19:35,STABLE BEAMS,6500,8079.349,7747.062,0.0,PLTZERO
302635:6191,6:6,09/12/17 05:19:58,STABLE BEAMS,6500,8078.341,7873.658,0.0,PLTZERO
302635:6191,7:7,09/12/17 05:20:21,STABLE BEAMS,6500,8078.281,7873.010,0.0,PLTZERO
302635:6191,8:8,09/12/17 05:20:44,STABLE BEAMS,6500,8075.197,7858.731,0.0,PLTZERO
302635:6191,9:9,09/12/17 05:21:08,STABLE BEAMS,6500,8070.260,7864.222,0.0,PLTZERO
302635:6191,10:10,09/12/17 05:21:31,STABLE BEAMS,6500,8064.957,7858.393,0.0,PLTZERO
302635:6191,11:11,09/12/17 05:21:54,STABLE BEAMS,6500,8114.426,7907.270,0.0,PLTZERO
302635:6191,12:12,09/12/17 05:22:18,STABLE BEAMS,6500,8266.923,8054.398,0.0,PLTZERO
302635:6191,13:13,09/12/17 05:22:41,STABLE BEAMS,6500,8260.993,7933.336,0.0,PLTZERO
302635:6191,14:14,09/12/17 05:23:04,STABLE BEAMS,6500,8255.521,8044.221,0.0,PLTZERO
302635:6191,15:15,09/12/17 05:23:28,STABLE BEAMS,6500,8241.956,8031.092,0.0,PLTZERO
302635:6191,16:16,09/12/17 05:23:51,STABLE BEAMS,6500,8226.504,8014.985,0.0,PLTZERO
302635:6191,17:17,09/12/17 05:24:14,STABLE BEAMS,6500,8216.943,8006.670,0.0,PLTZERO
302635:6191,18:18,09/12/17 05:24:38,STABLE BEAMS,6500,8129.842,7922.772,0.0,PLTZERO
302635:6191,19:19,09/12/17 05:25:01,STABLE BEAMS,6500,8003.008,7800.634,0.0,PLTZERO
302635:6191,20:20,09/12/17 05:25:24,STABLE BEAMS,6500,7828.138,7631.316,0.0,PLTZERO
302635:6191,21:21,09/12/17 05:25:47,STABLE BEAMS,6500,7573.302,7385.501,0.0,PLTZERO
302635:6191,22:22,09/12/17 05:26:11,STABLE BEAMS,6500,8089.161,7883.208,0.0,PLTZERO
302635:6191,23:23,09/12/17 05:26:34,STABLE BEAMS,6500,8280.536,8055.429,0.0,PLTZERO
302635:6191,24:24,09/12/17 05:26:57,STABLE BEAMS,6500,8310.183,8096.528,0.0,PLTZERO
302635:6191,25:25,09/12/17 05:27:21,STABLE BEAMS,6500,8307.176,8091.965,0.0,PLTZERO
302635:6191,26:26,09/12/17 05:27:44,STABLE BEAMS,6500,8303.346,8089.494,0.0,PLTZERO
302635:6191,27:27,09/12/17 05:28:07,STABLE BEAMS,6500,8302.246,8088.015,0.0,PLTZERO
302635:6191,28:28,09/12/17 05:28:31,STABLE BEAMS,6500,8296.623,8083.504,0.0,PLTZERO
302635:6191,29:29,09/12/17 05:28:54,STABLE BEAMS,6500,8293.676,8079.849,0.0,PLTZERO
302635:6191,30:30,09/12/17 05:29:17,STABLE BEAMS,6500,8290.059,8076.970,0.0,PLTZERO
302635:6191,31:31,09/12/17 05:29:41,STABLE BEAMS,6500,8285.414,8071.060,0.0,PLTZERO
302635:6191,32:32,09/12/17 05:30:04,STABLE BEAMS,6500,8279.724,8066.466,0.0,PLTZERO
302635:6191,33:33,09/12/17 05:30:27,STABLE BEAMS,6500,8275.537,8062.275,0.0,PLTZERO
302635:6191,34:34,09/12/17 05:30:51,STABLE BEAMS,6500,8273.231,8060.364,0.0,PLTZERO
302635:6191,35:35,09/12/17 05:31:14,STABLE BEAMS,6500,8269.384,8056.465,0.0,PLTZERO
302635:6191,36:36,09/12/17 05:31:37,STABLE BEAMS,6500,8265.399,8053.554,0.0,PLTZERO
302635:6191,37:37,09/12/17 05:32:00,STABLE BEAMS,6500,8262.870,8051.234,0.0,PLTZERO
302635:6191,38:38,09/12/17 05:32:24,STABLE BEAMS,6500,8257.845,8046.233,0.0,PLTZERO
302635:6191,39:39,09/12/17 05:32:47,STABLE BEAMS,6500,8252.997,7926.042,0.0,PLTZERO
302635:6191,40:40,09/12/17 05:33:10,STABLE BEAMS,6500,8250.850,8039.644,0.0,PLTZERO
302635:6191,41:41,09/12/17 05:33:34,STABLE BEAMS,6500,8247.446,7920.924,0.0,PLTZERO
302635:6191,42:42,09/12/17 05:33:57,STABLE BEAMS,6500,8243.404,8020.419,0.0,PLTZERO
302635:6191,43:43,09/12/17 05:34:20,STABLE BEAMS,6500,8239.653,8027.912,0.0,PLTZERO
302635:6191,44:44,09/12/17 05:34:44,STABLE BEAMS,6500,8238.185,8027.674,0.0,PLTZERO
302635:6191,45:45,09/12/17 05:35:07,STABLE BEAMS,6500,8234.856,8024.348,0.0,PLTZERO
302635:6191,46:46,09/12/17 05:35:30,STABLE BEAMS,6500,8229.091,8018.823,0.0,PLTZERO
302635:6191,47:47,09/12/17 05:35:54,STABLE BEAMS,6500,8225.567,8014.831,0.0,PLTZERO
302635:6191,48:48,09/12/17 05:36:17,STABLE BEAMS,6500,8223.013,8012.435,0.0,PLTZERO
302635:6191,49:49,09/12/17 05:36:40,STABLE BEAMS,6500,8216.654,8006.802,0.0,PLTZERO
302635:6191,50:50,09/12/17 05:37:04,STABLE BEAMS,6500,8211.800,8001.146,0.0,PLTZERO
302635:6191,51:51,09/12/17 05:37:27,STABLE BEAMS,6500,8212.974,8003.058,0.0,PLTZERO
302635:6191,52:52,09/12/17 05:37:50,STABLE BEAMS,6500,8202.927,7988.353,0.0,PLTZERO
302635:6191,53:53,09/12/17 05:38:13,STABLE BEAMS,6500,8207.263,7997.231,0.0,PLTZERO
302635:6191,54:54,09/12/17 05:38:37,STABLE BEAMS,6500,8196.346,7987.245,0.0,PLTZERO
302635:6191,55:55,09/12/17 05:39:00,STABLE BEAMS,6500,8195.897,7986.528,0.0,PLTZERO
302635:6191,56:56,09/12/17 05:39:23,STABLE BEAMS,6500,8191.449,7969.619,0.0,PLTZERO
302635:6191,57:57,09/12/17 05:39:47,STABLE BEAMS,6500,8189.619,7980.108,0.0,PLTZERO
302635:6191,58:58,09/12/17 05:40:10,STABLE BEAMS,6500,8184.626,7976.063,0.0,PLTZERO
302635:6191,59:59,09/12/17 05:40:33,STABLE BEAMS,6500,8180.835,7971.359,0.0,PLTZERO
302635:6191,60:60,09/12/17 05:40:57,STABLE BEAMS,6500,8174.949,7965.248,0.0,PLTZERO
302635:6191,61:61,09/12/17 05:41:20,STABLE BEAMS,6500,8173.733,7964.341,0.0,PLTZERO
302635:6191,62:62,09/12/17 05:41:43,STABLE BEAMS,6500,8172.950,7965.266,0.0,PLTZERO
302635:6191,63:63,09/12/17 05:42:07,STABLE BEAMS,6500,8169.057,7961.642,0.0,PLTZERO
302635:6191,64:64,09/12/17 05:42:30,STABLE BEAMS,6500,8165.518,7957.371,0.0,PLTZERO
302635:6191,65:65,09/12/17 05:42:53,STABLE BEAMS,6500,8164.020,7955.411,0.0,PLTZERO
302635:6191,66:66,09/12/17 05:43:16,STABLE BEAMS,6500,8159.069,7950.976,0.0,PLTZERO
302635:6191,67:67,09/12/17 05:43:40,STABLE BEAMS,6500,8155.009,7946.290,0.0,PLTZERO
302635:6191,68:68,09/12/17 05:44:03,STABLE BEAMS,6500,8149.638,7942.404,0.0,PLTZERO
302635:6191,69:69,09/12/17 05:44:26,STABLE BEAMS,6500,8145.551,7937.491,0.0,PLTZERO
302635:6191,70:70,09/12/17 05:44:50,STABLE BEAMS,6500,8142.593,7935.163,0.0,PLTZERO
302635:6191,71:71,09/12/17 05:45:13,STABLE BEAMS,6500,8138.626,7930.880,0.0,PLTZERO
302635:6191,72:72,09/12/17 05:45:36,STABLE BEAMS,6500,8136.169,7815.540,0.0,PLTZERO
302635:6191,73:73,09/12/17 05:46:00,STABLE BEAMS,6500,8133.432,7926.582,0.0,PLTZERO
302635:6191,74:74,09/12/17 05:46:23,STABLE BEAMS,6500,8129.462,7922.296,0.0,PLTZERO
302635:6191,75:75,09/12/17 05:46:46,STABLE BEAMS,6500,8127.220,7919.830,0.0,PLTZERO
302635:6191,76:76,09/12/17 05:47:10,STABLE BEAMS,6500,8123.928,7916.885,0.0,PLTZERO
302635:6191,77:77,09/12/17 05:47:33,STABLE BEAMS,6500,8119.543,7912.824,0.0,PLTZERO
302635:6191,78:78,09/12/17 05:47:56,STABLE BEAMS,6500,8115.998,7796.372,0.0,PLTZERO
302635:6191,79:79,09/12/17 05:48:20,STABLE BEAMS,6500,8112.605,7905.228,0.0,PLTZERO
302635:6191,80:80,09/12/17 05:48:43,STABLE BEAMS,6500,8109.352,7903.208,0.0,PLTZERO
302635:6191,81:81,09/12/17 05:49:06,STABLE BEAMS,6500,8097.096,7891.107,0.0,PLTZERO
302635:6191,82:82,09/12/17 05:49:29,STABLE BEAMS,6500,8092.984,7888.036,0.0,PLTZERO
302635:6191,83:83,09/12/17 05:49:53,STABLE BEAMS,6500,8092.703,7886.984,0.0,PLTZERO
302635:6191,84:84,09/12/17 05:50:16,STABLE BEAMS,6500,8091.750,7885.876,0.0,PLTZERO
302635:6191,85:85,09/12/17 05:50:39,STABLE BEAMS,6500,8089.119,7883.699,0.0,PLTZERO
302635:6191,86:86,09/12/17 05:51:03,STABLE BEAMS,6500,8084.733,7879.659,0.0,PLTZERO
